As Loterias - www.asloterias.com.br - Todos Resultados da TimeMania;;;;;;;;;
Este arquivo foi baixado no site www.asloterias.com.br no dia 19/03/2019;;;;;;;;;
Visite o site para baixar a versão mais atualizada deste arquivo!;;;;;;;;;
;;;;;;;;;
TODOS RESULTADOS DA TIMEMANIA POR ORDEM DE SORTEIO;;;;;;;;;
;;;;;;;;;
Concurso;Data;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;Time do Coração
1126;30/12/2017;36;63;1;7;75;65;40;CORINTHIANS/SP
1125;28/12/2017;44;61;68;4;21;40;23;MARÍLIA/SP
1124;26/12/2017;9;14;1;41;45;34;72;AMERICANO/RJ
1123;23/12/2017;18;57;75;71;22;12;69;CORINTHIANS/SP
1122;21/12/2017;35;44;3;41;28;32;42;TUNA LUSO/PA
1121;19/12/2017;75;2;56;20;3;66;60;ATLÉTICO/GO
1120;16/12/2017;76;55;4;35;50;73;40;TREZE/PB
1119;14/12/2017;38;52;19;36;10;77;37;XV PIRACICABA/SP
1118;12/12/2017;23;5;55;19;71;57;36;ATLÉTICO/GO
1117;09/12/2017;61;75;7;53;15;73;22;PAYSANDU/PA
1116;07/12/2017;64;66;72;76;38;50;2;UNIÃO SÃO JOÃO/SP
1115;05/12/2017;5;38;46;50;24;9;51;AMÉRICA/RJ
1114;02/12/2017;33;45;31;8;67;73;41;XV PIRACICABA/SP
1113;30/11/2017;10;34;48;72;15;23;71;PALMAS/TO
1112;28/11/2017;26;51;28;5;44;23;69;RORAIMA/RR
1111;25/11/2017;63;31;66;28;71;57;13;AMÉRICA/RJ
1110;23/11/2017;72;78;42;77;24;55;4;SÃO CAETANO/SP
1109;21/11/2017;50;5;32;16;33;40;71;BRASILIENSE/DF
1108;18/11/2017;45;10;11;48;43;76;9;CRB/AL
1107;16/11/2017;76;7;22;4;28;39;31;OPERARIO/MS
1106;14/11/2017;42;38;53;24;29;17;13;CORITIBA/PR
1105;11/11/2017;40;50;35;38;74;57;36;PONTE PRETA/SP
1104;09/11/2017;55;34;58;1;19;56;68;TREZE/PB
1103;07/11/2017;36;47;40;19;60;73;67;RORAIMA/RR
1102;04/11/2017;35;11;29;38;30;71;12;AMERICANO/RJ
1101;31/10/2017;66;41;51;18;5;45;16;RIO BRANCO/AC
1100;28/10/2017;32;66;40;77;4;49;72;AVAÍ/SC
1099;26/10/2017;62;13;36;58;6;29;43;CRB/AL
1098;24/10/2017;19;25;4;1;62;37;45;PALMAS/TO
1097;21/10/2017;36;49;12;64;57;45;30;UNIÃO SÃO JOÃO/SP
1096;19/10/2017;70;24;71;68;12;60;74;PALMEIRAS/SP
1095;17/10/2017;51;5;13;46;67;34;14;SÃO RAIMUNDO/AM
1094;14/10/2017;64;78;40;79;37;41;19;CRICIÚMA/SC
1093;10/10/2017;67;46;1;60;33;44;52;SANTA CRUZ/PE
1092;07/10/2017;40;67;36;37;59;61;54;BRAGANTINO/SP
1091;05/10/2017;10;5;36;26;55;52;15;SAMPAIO CORRÊA/MA
1090;03/10/2017;32;44;10;73;25;54;16;AMERICANO/RJ
1089;30/09/2017;72;44;66;51;55;74;50;VASCO DA GAMA/RJ
1088;28/09/2017;58;5;68;53;63;49;69;CRICIÚMA/SC
1087;26/09/2017;59;44;75;28;66;12;37;AMÉRICA/MG
1086;23/09/2017;35;6;66;19;1;13;15;FIGUEIRENSE/SC
1085;21/09/2017;32;42;25;18;17;63;45;ATLÉTICO/PR
1084;19/09/2017;30;14;67;48;69;10;16;BAHIA/BA
1083;16/09/2017;39;62;75;40;80;3;47;PAYSANDU/PA
1082;14/09/2017;28;35;19;80;54;49;34;VITÓRIA/BA
1081;12/09/2017;23;70;2;43;22;32;46;LONDRINA/PR
1080;09/09/2017;43;68;38;51;3;27;61;CRUZEIRO/MG
1079;05/09/2017;75;34;61;3;73;46;26;INTERNACIONAL/RS
1078;02/09/2017;51;44;12;74;62;50;35;AVAÍ/SC
1077;31/08/2017;69;52;18;57;15;27;61;NACIONAL/AM
1076;29/08/2017;57;67;50;73;78;4;76;UNIÃO SÃO JOÃO/SP
1075;26/08/2017;73;79;41;11;19;29;1;BOTAFOGO/RJ
1074;24/08/2017;32;79;74;80;72;38;8;SANTO ANDRÉ/SP
1073;22/08/2017;11;34;36;20;5;21;4;GRÊMIO/RS
1072;19/08/2017;71;79;38;3;76;46;34;VILA NOVA/GO
1071;17/08/2017;50;66;20;5;76;23;12;GRÊMIO/RS
1070;15/08/2017;33;72;13;38;20;53;41;OPERARIO/MS
1069;12/08/2017;64;2;37;43;19;72;11;SPORT/PE
1068;10/08/2017;18;28;6;5;38;19;69;UNIÃO SÃO JOÃO/SP
1067;08/08/2017;66;18;69;76;34;55;11;JUVENTUS/SP
1066;05/08/2017;54;21;48;41;16;38;18;AMERICANO/RJ
1065;03/08/2017;50;42;78;59;7;3;49;JUVENTUS/SP
1064;01/08/2017;49;6;25;29;8;16;70;VILLA NOVA/MG
1063;29/07/2017;70;34;74;6;42;44;26;MIXTO/MT
1062;27/07/2017;5;51;25;40;72;67;69;CRB/AL
1061;25/07/2017;2;28;23;13;34;10;44;MARÍLIA/SP
1060;22/07/2017;24;28;66;4;40;41;34;YPIRANGA/AP
1059;20/07/2017;62;25;6;16;44;36;14;VITÓRIA/BA
1058;18/07/2017;17;30;2;3;46;5;26;GRÊMIO/RS
1057;15/07/2017;5;16;33;29;53;9;76;PARANÁ/PR
1056;13/07/2017;45;46;51;29;9;30;73;ABC/RN
1055;11/07/2017;31;35;65;47;43;57;49;YPIRANGA/AP
1054;08/07/2017;27;45;14;69;25;22;20;AMERICANO/RJ
1053;06/07/2017;79;72;46;65;59;13;9;AMÉRICA/RJ
1052;04/07/2017;3;56;10;26;38;1;20;XV PIRACICABA/SP
1051;01/07/2017;78;24;77;22;64;4;66;VASCO DA GAMA/RJ
1050;29/06/2017;33;48;60;28;6;8;70;SANTA CRUZ/PE
1049;27/06/2017;77;7;65;67;47;31;11;SANTOS/SP
1048;24/06/2017;22;59;36;40;4;31;12;NÁUTICO/PE
1047;22/06/2017;32;62;57;15;23;76;6;ITUANO/SP
1046;20/06/2017;11;67;4;45;73;80;57;AMÉRICA/RN
1045;17/06/2017;19;50;74;45;78;49;68;GAMA/DF
1044;13/06/2017;71;23;49;58;2;35;63;VILA NOVA/GO
1043;10/06/2017;56;27;53;79;57;49;17;MOTO CLUBE/MA
1042;08/06/2017;17;37;2;70;71;74;79;SÃO PAULO/SP
1041;06/06/2017;6;67;47;79;69;12;8;RIO BRANCO/ES
1040;03/06/2017;75;64;72;7;5;19;40;RIO BRANCO/ES
1039;01/06/2017;49;37;68;31;62;20;21;REMO/PA
1038;30/05/2017;31;41;36;57;35;69;25;ATLÉTICO/MG
1037;27/05/2017;24;45;76;16;8;50;55;PALMEIRAS/SP
1036;25/05/2017;60;50;5;79;4;49;25;RIO BRANCO/AC
1035;23/05/2017;49;80;29;18;37;58;78;TUNA LUSO/PA
1034;20/05/2017;40;46;9;45;74;35;68;CRUZEIRO/MG
1033;18/05/2017;46;27;73;70;28;26;64;TREZE/PB
1032;16/05/2017;49;77;62;14;79;74;17;INTERNACIONAL/RS
1031;13/05/2017;20;3;34;62;12;49;23;UNIÃO BARBARENSE/SP
1030;11/05/2017;38;35;26;46;52;8;69;BOTAFOGO/PB
1029;09/05/2017;2;67;66;20;26;41;24;GAMA/DF
1028;06/05/2017;72;5;42;43;1;17;20;VASCO DA GAMA/RJ
1027;04/05/2017;72;51;15;77;11;62;61;CEARÁ/CE
1026;02/05/2017;51;53;17;74;68;77;78;ITUANO/SP
1025;29/04/2017;29;53;1;55;52;34;18;OPERARIO/MS
1024;27/04/2017;38;4;50;70;64;29;14;JUVENTUDE/RS
1023;25/04/2017;79;66;26;53;42;34;77;JUVENTUDE/RS
1022;22/04/2017;48;43;20;37;68;4;52;IPATINGA/MG
1021;20/04/2017;20;40;65;35;56;14;58;TUNA LUSO/PA
1020;18/04/2017;53;58;75;6;72;27;39;BARUERI/SP
1019;15/04/2017;24;2;18;44;13;28;3;SÃO  CAETANO/SP
1018;13/04/2017;4;24;61;9;29;45;37;ATLÉTICO/GO
1017;11/04/2017;67;8;47;71;73;15;19;LONDRINA/PR
1016;08/04/2017;38;74;5;13;44;63;46;YPIRANGA/AP
1015;06/04/2017;16;41;3;5;60;75;28;AMERICANO/RJ
1014;04/04/2017;37;18;70;50;31;47;71;ATLÉTICO/MG
1013;01/04/2017;32;31;28;17;2;68;63;MOTO CLUBE/MA
1012;30/03/2017;18;62;79;1;78;27;2;SANTO ANDRE/SP
1011;28/03/2017;50;40;57;30;79;25;15;GOIÁS/GO
1010;25/03/2017;52;23;40;71;53;10;26;P.  DESPORTOS/SP
1009;23/03/2017;66;80;38;69;74;68;51;JUVENTUDE/RS
1008;21/03/2017;59;19;65;24;45;7;42;SÃO RAIMUNDO/AM
1007;18/03/2017;49;3;71;75;65;38;35;CORITIBA/PR
1006;16/03/2017;13;79;44;33;72;20;22;JOINVILLE/SC
1005;14/03/2017;38;71;43;74;37;52;32;BOTAFOGO/RJ
1004;11/03/2017;67;51;1;31;22;14;38;RIO BRANCO/ES
1003;09/03/2017;65;39;67;29;73;61;11;BOTAFOGO/PB
1002;07/03/2017;44;34;50;11;39;49;28;INTER LIMEIRA/SP
1001;04/03/2017;19;24;39;71;72;62;74;PALMEIRAS/SP
1000;02/03/2017;43;41;47;11;32;80;22;FLUMINENSE/RJ
999;25/02/2017;80;56;67;50;2;71;74;FLAMENGO/RJ
998;23/02/2017;76;18;26;31;80;55;54;RIVER/PI
997;21/02/2017;56;42;27;29;61;20;70;MARÍLIA/SP
996;18/02/2017;7;38;2;78;41;10;50;RIO BRANCO/ES
995;16/02/2017;27;47;71;80;39;2;29;SANTO ANDRE/SP
994;14/02/2017;65;69;5;66;14;80;20;BRAGANTINO/SP
993;11/02/2017;40;54;74;7;75;52;49;RIO BRANCO/AC
992;09/02/2017;57;47;70;30;22;78;38;PARANÁ/PR
991;07/02/2017;73;7;34;75;71;4;66;UNIÃO BARBARENSE/SP
990;04/02/2017;30;42;40;10;19;63;5;TUNA LUSO/PA
989;02/02/2017;12;46;72;53;8;51;63;SANTOS/SP
988;31/01/2017;34;65;70;59;56;26;1;DESPORTIVA/ES
987;28/01/2017;26;69;16;37;19;40;73;BAHIA/BA
986;26/01/2017;28;49;1;8;5;30;38;AMÉRICA/RJ
985;24/01/2017;1;49;66;11;10;13;36;RIO BRANCO/AC
984;21/01/2017;11;18;62;19;4;3;40;BOTAFOGO/RJ
983;19/01/2017;59;74;5;75;48;71;38;BARUERI/SP
982;17/01/2017;21;42;20;57;60;6;29;JUVENTUS/SP
981;14/01/2017;54;49;39;23;15;16;5;BARUERI/SP
980;12/01/2017;48;24;64;67;70;3;19;PALMAS/TO
979;10/01/2017;10;33;36;78;59;76;61;BAHIA/BA
978;07/01/2017;64;1;53;21;56;28;60;INTERNACIONAL/RS
977;05/01/2017;52;65;71;57;5;75;59;RIVER/PI
976;03/01/2017;76;42;48;39;3;41;71;ATLÉTICO/PR
975;31/12/2016;18;14;22;41;13;53;1;BRASILIENSE/DF
974;29/12/2016;50;13;20;56;75;44;35;FLAMENGO/RJ
973;27/12/2016;9;44;5;11;50;27;28;REMO/PA
972;24/12/2016;75;35;43;4;44;17;36;REMO/PA
971;22/12/2016;44;79;65;72;33;51;68;CRB/AL
970;20/12/2016;38;5;55;27;49;4;41;CRUZEIRO/MG
969;17/12/2016;40;52;32;20;13;70;62;JI-PARANÁ / RO
968;15/12/2016;48;16;46;64;62;67;54;MIXTO/MT
967;13/12/2016;58;45;11;36;77;4;17;SPORT/PE
966;10/12/2016;75;46;9;2;14;68;30;CRB/AL
965;08/12/2016;76;51;49;7;64;61;65;PALMAS/TO
964;06/12/2016;57;75;64;26;28;47;12;PALMAS/TO
963;03/12/2016;21;33;67;12;65;37;80;SERGIPE/SE
962;01/12/2016;63;80;7;79;28;41;49;AMÉRICA/RN
961;29/11/2016;66;31;9;42;10;49;48;JI-PARANÁ / RO
960;26/11/2016;67;35;33;72;15;80;54;BOTAFOGO/RJ
959;24/11/2016;21;30;28;55;8;38;5;BRAGANTINO/SP
958;22/11/2016;71;24;74;48;73;37;63;INTER LIMEIRA/SP
957;19/11/2016;13;42;66;18;62;8;56;ATLÉTICO/PR
956;17/11/2016;29;21;7;3;59;39;6;DESPORTIVA/ES
955;12/11/2016;68;35;17;42;61;41;75;PAYSANDU/PA
954;10/11/2016;56;70;35;60;7;31;46;UNIÃO SÃO JOÃO/SP
953;08/11/2016;74;16;10;48;73;1;65;UBERLÂNDIA/MG
952;05/11/2016;23;62;47;50;63;20;32;TUNA LUSO/PA
951;03/11/2016;12;1;76;53;29;47;62;AMÉRICA/RJ
950;01/11/2016;16;53;4;41;36;27;23;MOTO CLUBE/MA
949;29/10/2016;9;17;15;69;78;43;72;PORTUGUESA DESPORTOS/SP
948;27/10/2016;36;21;19;12;3;76;48;CORITIBA/PR
947;25/10/2016;55;35;64;45;48;19;26;AMÉRICA/RN
946;22/10/2016;69;66;37;5;33;12;64;PAULISTA/SP
945;20/10/2016;47;19;48;68;23;18;69;NACIONAL/AM
944;18/10/2016;21;4;27;47;80;35;14;XV PIRACICABA/SP
943;15/10/2016;4;52;38;69;53;27;72;SÃO CAETANO/SP
942;13/10/2016;23;63;57;51;47;8;6;JI-PARANÁ / RO
941;11/10/2016;28;15;40;12;69;7;75;BARUERI/SP
940;08/10/2016;26;42;77;49;30;51;63;ATLÉTICO/GO
939;06/10/2016;8;3;18;7;56;6;36;BRASILIENSE/DF
938;04/10/2016;60;2;11;78;12;50;28;BANGU/RJ
937;01/10/2016;29;27;16;6;44;28;30;JI-PARANÁ / RO
936;29/09/2016;69;56;30;76;78;20;12;SÃO PAULO/SP
935;27/09/2016;7;11;52;40;39;77;12;SANTO ANDRÉ/SP
